Manufacturer,Year,Model,Category,Head Material (Body/Face),Loft Array (4-PW),7i Loft / Lie,Topline / Blade (7i),Finish Options,Price (7pc),Stock Length,Swing Weight,Target Player Profile,Spin Profile,Bias,Offset,Left Handed
Titleist,2026,T200,Players Distance,Forged Face / Max Impact,21/24/27/30.5/34.5/39/43,30.5° / 63.0°,7.5mm / 81mm,Satin Chrome,"$1,499","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Progressive (3.0mm),✓
Titleist,2026,T150,Players Distance,Forged 1025 / Hollow Muscle,22/25/28/32/36/40/44,32.0° / 63.0°,6.5mm / 78mm,Satin Chrome,"$1,499","37.0"" (7i)",D3,0-10 HCP,Mid,Neutral,Slight (2.0mm),✓
Titleist,2026,T100,Tour Player,Forged 1025 / Dual Cavity,24/27/30/34/38/42/46,34.0° / 63.0°,5.0mm / 74mm,Satin Chrome,"$1,499","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.5mm),✓
TaylorMade,2026,P·790,Players Distance,8620 Carbon / SpeedFoam Air,21/23.5/26.5/30.5/35/40/45,30.5° / 62.5°,7.2mm / 79mm,Satin Chrome,"$1,499","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Slight (2.7mm),✓
TaylorMade,2026,P·770,Players,8620 Carbon / Forged 4140 Face,22.5/25.5/29/33/37/41/46,33.0° / 62.5°,6.5mm / 77mm,Satin Chrome,"$1,399","37.0"" (7i)",D2,5-10 HCP,Mid,Neutral,Slight (2.0mm),✓
PING,2026,i230,Players Cavity,431 Stainless Steel,22.5/26/29.5/33/37/41/45,33.0° / 62.0°,6.0mm / 77mm,Hydropearl 2.0,"$1,400","37.0"" (7i)",D2,0-10 HCP,Mid,Neutral,Slight (2.0mm),✓
PING,2026,Blueprint S,Tour Player,Forged 8620 Carbon Steel,23/26/29.5/33/37/41/45,33.0° / 62.0°,4.8mm / 74mm,Hydropearl 2.0,"$1,500","37.0"" (7i)",D2,0-3 HCP,High,None,Minimal (1.5mm),✓
Mizuno,2026,Pro 261 (Blade),Tour Blade,1025E Pure Select Carbon,24/27/30/34/38/42/46,34.0° / 61.5°,4.5mm / 72mm,Satin Chrome,"$1,505","37.0"" (7i)",D3,0-3 HCP,High,None,Minimal (1.2mm),✓
Mizuno,2026,JPX 925 Hot Metal,Game Improv.,4140M Chromoly / Cavity,19/22/25/29/33/37/42,29.0° / 62.0°,8.0mm / 81mm,Chrome,"$1,155","37.0"" (7i)",D2,15+ HCP,Low,Draw,Progressive (5.0mm),✓
Callaway,2026,Apex Pro,Players Cavity,Forged 1025 Carbon Steel,23/26/29/33/37/41/45,33.0° / 62.0°,5.5mm / 76mm,Satin,"$1,500","37.0"" (7i)",D3,0-5 HCP,Mid-High,Neutral,Minimal (1.8mm),✓
Callaway,2026,Apex Ai200,Players Distance,Forged Hollow / AI Face,21/23.5/26/30/34/38/43,30.0° / 62.0°,7.0mm / 79mm,Satin/Chrome,"$1,450","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.5mm),✓
Takomo,2025,301 CB,Tour Player,Forged S20C Carbon,24/27/30/34/38/42/46,34.0° / 62.5°,4.8mm / 73mm,Satin Chrome,$649,"37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.5mm),✓
Takomo,2025,201,Players Cavity,Forged S20C Carbon,22/25/28/31/35/40/45,31.0° / 62.5°,6.0mm / 75mm,Satin Chrome,$589,"37.0"" (7i)",D2,0-10 HCP,Mid,Neutral,Minimal (2.0mm),✓
Takomo,2025,101,Game Improv.,431 Stainless Hollow,20/22.5/25.5/29/33/38/43,29.0° / 62.0°,8.0mm / 81mm,Satin Chrome,$489,"37.0"" (7i)",D2,10+ HCP,Low-Mid,Neutral / Draw,Moderate (4.0mm),✓
Srixon,2025,ZXi7,Tour Cavity,Forged 1020 Carbon,23/26/29/33/37/41/46,33.0° / 62.0°,5.5mm / 76mm,Tour Satin,"$1,200","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (2.0mm),✓
Srixon,2025,ZXi5,Players Distance,Forged Carbon / SUP10 Face,22/24/27/31/35/39/44,31.0° / 62.0°,7.0mm / 79mm,Tour Satin,"$1,200","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.8mm),✓
PING,2025,i230,Players Cavity,431 Stainless Steel,22.5/26/29.5/33/37/41/45,33.0° / 62.0°,6.0mm / 77mm,Hydropearl 2.0,"$1,400","37.0"" (7i)",D2,0-10 HCP,Mid,Neutral,Slight (2.0mm),✓
PING,2025,G440 Irons,Game Improv.,17-4 Stainless Steel / VFT,20/23/26/29.5/34/39/44,29.5° / 62.0°,8.0mm / 82mm,Hydropearl 2.0,"$1,100","37.0"" (7i)",D1,10+ HCP,Low-Mid,Neutral / Draw,Moderate (4.5mm),✓
Mizuno,2025,Mizuno Pro 245,Players Distance,Chromoly Forged Hollow,21/24/27/30/34/39/44,30.0° / 61.5°,6.6mm / 78mm,Satin,"$1,500","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.5mm),✓
Mizuno,2025,Mizuno Pro 243,Players Cavity,1025E Forged / Chromoly,22/25/28/32/36/40/44,32.0° / 61.5°,5.7mm / 76mm,Satin,"$1,500","37.0"" (7i)",D2,0-8 HCP,Mid-High,Neutral,Minimal (1.8mm),✓
Mizuno,2025,Mizuno Pro 241,Tour Blade,1025E Grain Flow Forged,24/27/30/34/38/42/46,34.0° / 61.5°,4.6mm / 72mm,Satin,"$1,500","37.0"" (7i)",D3,0-3 HCP,High,Neutral,Minimal (1.1mm),✓
Cobra,2025,KING Tour,Tour Player,Forged 1025 Carbon Steel,24/27/30/34/38/42/46,34.0° / 62.5°,5.0mm / 75mm,Satin Chrome,"$1,300","37.0"" (7i)",D2,0-5 HCP,High,Neutral,Minimal (1.5mm),✓
Titleist,2024,T350,Game Improv.,High Strength Steel / Max Impact,20/23/26/29/33/38/43,29.0° / 63.0°,8.5mm / 83mm,Chrome,"$1,299","37.0"" (7i)",D1,12+ HCP,Low,Draw Bias,Moderate (4.2mm),✓
Titleist,2024,T200,Players Distance,Forged Face / Max Impact,21/24/27/30.5/34.5/39/43,30.5° / 63.0°,7.5mm / 81mm,Satin Chrome,"$1,499","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Progressive (3.0mm),✓
Titleist,2024,T150,Players Distance,Forged 1025 / Hollow Muscle,22/25/28/32/36/40/44,32.0° / 63.0°,6.5mm / 78mm,Satin Chrome,"$1,499","37.0"" (7i)",D3,0-10 HCP,Mid,Neutral,Slight (2.0mm),✓
TaylorMade,2024,P·7CB,Tour Cavity,Compact Forged 1025,24/27/30/34/38/42/46,34.0° / 62.5°,5.5mm / 74mm,Satin Chrome,"$1,399","37.0"" (7i)",D3,0-3 HCP,High,Neutral,Minimal (1.5mm),✓
TaylorMade,2024,P·790,Players Distance,8620 Carbon / SpeedFoam Air,21/23.5/26.5/30.5/35/40/45,30.5° / 62.5°,7.2mm / 79mm,Satin Chrome,"$1,499","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Slight (2.7mm),✓
TaylorMade,2024,P·770,Players Distance,8620 Carbon / Forged Face,22.5/25.5/29/33/37/41/46,33.0° / 62.5°,6.5mm / 77mm,Satin Chrome,"$1,399","37.0"" (7i)",D2,5-10 HCP,Mid,Neutral,Slight (2.0mm),✓
PXG,2024,0311 XP Gen6,Game Improv.,Forged 8620 / HT1770 Face,19/22/25/28.5/33/38/43,28.5° / 62.5°,8.0mm / 82mm,Chrome / Xtreme Dark,"$1,299","37.0"" (7i)",D1,10+ HCP,Low,Draw Bias,Moderate (3.8mm),✓
PING,2024,i530,Players Distance,17-4 SS / Forged Face,20/23/26/29.5/34/39/44.5,29.5° / 62.0°,7.0mm / 79mm,Hydropearl 2.0,"$1,400","37.0"" (7i)",D1,5-15 HCP,Low-Mid,Neutral,Slight (2.5mm),✓
PING,2024,G430,Game Improv.,17-4 Stainless / VFT,19/22/25.5/29/33/37/41,29.0° / 62.0°,8.2mm / 82mm,Hydropearl 2.0,"$1,100","37.0"" (7i)",D1,10+ HCP,Low-Mid,Draw Bias,Moderate (4.0mm),✓
PING,2024,Blueprint S,Tour Player,Forged 8620 Carbon Steel,23/26/29.5/33/37/41/45,33.0° / 62.0°,4.8mm / 74mm,Hydropearl 2.0,"$1,500","37.0"" (7i)",D2,0-3 HCP,High,None,Minimal (1.5mm),✓
Mizuno,2024,JPX 923 Hot Metal,Game Improv.,Chromoly 4335 / Cup Face,19/22/25/28.5/33/37.5/42.5,28.5° / 62.0°,8.0mm / 81mm,Chrome,"$1,000","37.0"" (7i)",D1,12+ HCP,Low,Draw,Progressive (4.5mm),✓
Cobra,2024,KING Tour,Tour Player,Forged 1025 Carbon Steel,24/27/30/34/38/42/46,34.0° / 62.5°,5.0mm / 75mm,Satin Chrome,"$1,300","37.0"" (7i)",D2,0-5 HCP,High,Neutral,Minimal (1.5mm),✓
Cobra,2024,Darkspeed,Game Improv.,Hollow Body / PWRSHELL,20/23/26/29.5/34/39/44,29.5° / 62.0°,8.0mm / 82mm,Chrome,"$1,100","37.0"" (7i)",D1,10+ HCP,Low-Mid,Draw Bias,Moderate (4.0mm),✓
Callaway,2024,Apex Pro,Players Cavity,Forged 1025 Carbon,23/26/29/33/37/41/45,33.0° / 62.0°,5.5mm / 76mm,Satin,"$1,500","37.0"" (7i)",D3,0-5 HCP,Mid-High,Neutral,Minimal (1.8mm),✓
Callaway,2024,Apex DCB,Game Improv.,Forged 1025 / Hollow,20/23/26/30/34/39/44,30.0° / 62.0°,8.5mm / 82mm,Chrome,"$1,250","37.0"" (7i)",D1,12+ HCP,Low,Draw Bias,Moderate (4.0mm),✓
Callaway,2024,Apex CB,Tour Cavity,Forged 1025 Carbon,24/27/30/34/38/42/46,34.0° / 62.0°,5.0mm / 74mm,Satin,"$1,500","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.6mm),✓
Titleist,2023,T150,Players Distance,Forged 1025 / Muscle Channel,22/25/28/32/36/40/44,32.0° / 63.0°,6.5mm / 78mm,Satin Chrome,"$1,499","37.0"" (7i)",D3,0-10 HCP,Mid,Neutral,Slight (2.0mm),✓
Titleist,2023,T100,Tour Player,Forged 1025 / Dual Cavity,24/27/30/34/38/42/46,34.0° / 63.0°,5.0mm / 74mm,Satin Chrome,"$1,499","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.5mm),✓
TaylorMade,2023,P·790,Players Distance,8620 Carbon / SpeedFoam Air,21/23.5/26.5/30.5/35/40/45,30.5° / 62.5°,7.2mm / 79mm,Satin Chrome,"$1,499","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Slight (2.7mm),✓
TaylorMade,2023,P·770,Players Distance,8620 Carbon / Forged 4140 Face,22.5/25.5/29/33/37/41/46,33.0° / 62.5°,6.5mm / 77mm,Satin Chrome,"$1,399","37.0"" (7i)",D2,5-10 HCP,Mid,Neutral,Slight (2.0mm),✓
PXG,2023,0311 P Gen6,Players Distance,Forged 8620 / HT1770 Face,21/24/27/30/34/39/44,30.0° / 62.5°,6.5mm / 78mm,Chrome / Xtreme Dark,"$1,299","37.0"" (7i)",D2,0-10 HCP,Mid,Neutral,Slight (2.5mm),✓
PING,2023,i230,Players Cavity,431 Stainless Steel,22.5/26/29.5/33/37/41/45,33.0° / 62.0°,6.0mm / 77mm,Hydropearl 2.0,"$1,400","37.0"" (7i)",D2,0-10 HCP,Mid,Neutral,Slight (2.0mm),✓
Mizuno,2023,Mizuno Pro 245,Players Distance,Chromoly Forged Hollow,21/24/27/30/34/39/44,30.0° / 61.5°,6.6mm / 78mm,Satin,"$1,500","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.5mm),✓
Mizuno,2023,Mizuno Pro 243,Players Cavity,1025E Forged / Chromoly,22/25/28/32/36/40/44,32.0° / 61.5°,5.7mm / 76mm,Satin,"$1,500","37.0"" (7i)",D2,0-8 HCP,Mid-High,Neutral,Minimal (1.8mm),✓
Mizuno,2023,Mizuno Pro 241,Tour Blade,1025E Grain Flow Forged,24/27/30/34/38/42/46,34.0° / 61.5°,4.6mm / 72mm,Satin,"$1,500","37.0"" (7i)",D3,0-3 HCP,High,Neutral,Minimal (1.1mm),✓
Cobra,2023,AeroJet,Game Improv.,Hollow Body / PWRSHELL,19/21.5/24/27.5/32/37/42,27.5° / 62.0°,8.2mm / 82mm,Chrome,$999,"37.0"" (7i)",D1,10+ HCP,Low,Draw Bias,Moderate (4.0mm),✓
Callaway,2023,Paradym,Players Distance,Forged 455 Face / Hollow,20.5/23/26/29/33/38/43,29.0° / 62.0°,7.8mm / 80mm,Chrome,"$1,300","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Slight (2.8mm),✓
Callaway,2023,Apex Pro,Players Cavity,Forged 1025 Carbon,23/26/29/33/37/41/45,33.0° / 62.0°,5.5mm / 76mm,Satin,"$1,450","37.0"" (7i)",D3,0-5 HCP,Mid-High,Neutral,Minimal (1.8mm),✓
Titleist,2022,T100,Tour Player,Forged 1025 / Dual Cavity,24/27/30/34/38/42/46,34.0° / 63.0°,5.0mm / 74mm,Satin Chrome,"$1,399","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.5mm),✓
TaylorMade,2022,Stealth,Game Improv.,Cap Back / Toe Wrap,18.5/21/24/28/32/37/43,28.0° / 62.5°,8.2mm / 82mm,Satin Chrome,$999,"37.0"" (7i)",D1,10+ HCP,Low,Draw Bias,Moderate (4.0mm),✓
PING,2022,i525,Players Distance,17-4 SS / Maraging Face,20.5/23.5/26.5/30/34.5/39.5/44.5,30.0° / 62.0°,7.2mm / 79mm,Hydropearl 2.0,"$1,299","37.0"" (7i)",D1,5-15 HCP,Low-Mid,Neutral,Slight (2.7mm),✓
Mizuno,2022,JPX 923 Tour,Tour Player,1025E Grain Flow Forged,24/27/30/34/38/42/46,34.0° / 61.5°,5.0mm / 74mm,Satin,"$1,300","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.6mm),✓
