Category,Manufacturer,Year,Model,Source URL,Source Type
Driver,Callaway,2022,Rogue ST Max,https://www.callawaygolf.com/rogue-st-family/rogue-st-drivers,official
Driver,Callaway,2022,Rogue ST Max D,https://www.callawaygolf.com/rogue-st-family/rogue-st-drivers,official
Driver,Callaway,2022,Rogue ST Max LS,https://www.callawaygolf.com/rogue-st-family/rogue-st-drivers,official
Driver,Callaway,2023,Paradym,https://www.callawaygolf.com/paradym-family,official
Driver,Callaway,2023,Paradym X,https://www.callawaygolf.com/paradym-family,official
Driver,Callaway,2023,Paradym Triple Diamond,https://www.callawaygolf.com/paradym-family,official
Driver,Callaway,2024,Paradym Ai Smoke Max,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2024,Paradym Ai Smoke Max D,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2024,Paradym Ai Smoke Max LS,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2024,Paradym Ai Smoke Triple Diamond,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2025,Elyte,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2025,Elyte X,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2025,Elyte Max Fast,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,Callaway,2025,Elyte Triple Diamond,https://www.golfspan.com/callaway-drivers-by-year,secondary
Driver,TaylorMade,2022,Stealth,https://www.taylormadegolf.com/Stealth-Driver/DW-TA026.html?lang=en_US,official
Driver,TaylorMade,2022,Stealth Plus,https://www.taylormadegolf.com/clubhouse/265430-driver-comparison-stealth-plus-vs-stealth-vs-stealth-hd.html?lang=en_US,official
Driver,TaylorMade,2022,Stealth HD,https://www.taylormadegolf.com/clubhouse/265430-driver-comparison-stealth-plus-vs-stealth-vs-stealth-hd.html?lang=en_US,official
Driver,TaylorMade,2025,Qi35,https://www.taylormadegolf.com/Qi35-Driver/M1449209.html?lang=en_US,official
Driver,TaylorMade,2025,Qi35 LS,https://www.taylormadegolf.com/clubhouse/888776-taylormade-golf-announces-qi35-family-of-drivers.html?lang=en_US,official
Driver,TaylorMade,2025,Qi35 Max,https://www.taylormadegolf.com/clubhouse/888776-taylormade-golf-announces-qi35-family-of-drivers.html?lang=en_US,official
Driver,TaylorMade,2025,Qi35 Max Lite,https://www.taylormadegolf.com/clubhouse/888776-taylormade-golf-announces-qi35-family-of-drivers.html?lang=en_US,official
Driver,Titleist,2020,TSi2,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2020,TSi3,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2021,TSi1,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2021,TSi4,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2022,TSR2,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2022,TSR3,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2022,TSR4,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2023,TSR1,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2024,GT2,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2024,GT3,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2024,GT4,https://www.titleist.com/previous-models/drivers,official
Driver,Titleist,2025,GT1,https://www.titleist.com/previous-models/drivers,official
Driver,PING,2021,G425 Max,https://ping.com/en-us/media/news/2021/g425-intro,official
Driver,PING,2021,G425 SFT,https://ping.com/en-us/media/news/2021/g425-intro,official
Driver,PING,2021,G425 LST,https://ping.com/en-us/media/news/2021/g425-intro,official
Driver,PING,2025,G440 Max,https://ca.ping.com/en-us/media/news/2025/g440-series-intro,official
Driver,PING,2025,G440 SFT,https://ca.ping.com/en-us/media/news/2025/g440-series-intro,official
Driver,PING,2025,G440 LST,https://ca.ping.com/en-us/media/news/2025/g440-series-intro,official
Fairway,Cobra,2024,Darkspeed LS,https://golfweek.usatoday.com/2024/01/11/cobra-darkspeed-ls-darkspeed-x-darkspeed-max-fairway-woods/,secondary
Fairway,Cobra,2024,Darkspeed X,https://golfweek.usatoday.com/2024/01/11/cobra-darkspeed-ls-darkspeed-x-darkspeed-max-fairway-woods/,secondary
Fairway,Cobra,2024,Darkspeed Max,https://golfweek.usatoday.com/2024/01/11/cobra-darkspeed-ls-darkspeed-x-darkspeed-max-fairway-woods/,secondary
Fairway,Cobra,2025,DS-Adapt X,https://golfweek.usatoday.com/story/sports/golf/2024/12/12/cobra-ds-adapt-x-ds-adapt-ls-ds-adapt-max-fairway-woods/76929244007,secondary
Fairway,Cobra,2025,DS-Adapt LS,https://golfweek.usatoday.com/story/sports/golf/2024/12/12/cobra-ds-adapt-x-ds-adapt-ls-ds-adapt-max-fairway-woods/76929244007,secondary
Fairway,Cobra,2025,DS-Adapt Max,https://golfweek.usatoday.com/story/sports/golf/2024/12/12/cobra-ds-adapt-x-ds-adapt-ls-ds-adapt-max-fairway-woods/76929244007,secondary
Fairway,PING,2019,G410,https://ca.ping.com/en-us/clubs/fairways/g410,official
Fairway,PING,2021,G425 Max,https://ca.ping.com/en-us/clubs/fairways/g425-sft,official
Fairway,PING,2021,G425 SFT,https://ca.ping.com/en-us/clubs/fairways/g425-sft,official
Fairway,PING,2021,G425 LST,https://ping.com/en-us/clubs/fairways?id=16357,official
Fairway,PING,2023,G430 Max,https://ping.com/en-us/clubs/fairways?id=16357,official
Fairway,PING,2023,G430 SFT,https://ping.com/en-us/clubs/fairways?id=16357,official
Fairway,PING,2023,G430 LST,https://ping.com/en-us/clubs/fairways?id=16357,official
Fairway,PING,2025,G440 SFT,https://ca.ping.com/en-us/clubs/fairways/g440-sft,official
Iron,Mizuno,2020,JPX 921 Hot Metal,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2020,JPX 921 Hot Metal Pro,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2020,JPX 921 Forged,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2020,JPX 921 Tour,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2022,Mizuno Pro 221,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2022,Mizuno Pro 223,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2022,Mizuno Pro 225,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2023,JPX 923 Hot Metal,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2023,JPX 923 Hot Metal Pro,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2023,JPX 923 Hot Metal HL,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2023,JPX 923 Forged,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2023,JPX 923 Tour,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2024,Mizuno Pro 241,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2024,Mizuno Pro 243,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2024,Mizuno Pro 245,https://pitchmarks.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2025,JPX 925 Hot Metal,https://swingyard.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2025,JPX 925 Hot Metal Pro,https://swingyard.com/mizuno-irons-by-year/,secondary
Iron,Mizuno,2025,JPX 925 Forged,https://swingyard.com/mizuno-irons-by-year/,secondary
Iron,Cobra,2022,KING LTDx,https://pitchmarks.com/cobra-irons-by-year/,secondary
Iron,Cobra,2022,KING Forged Tec,https://pitchmarks.com/cobra-irons-by-year/,secondary
Iron,Cobra,2023,KING Tour,https://pitchmarks.com/cobra-irons-by-year/,secondary
Iron,Cobra,2023,AeroJet,https://pitchmarks.com/cobra-irons-by-year/,secondary
Iron,Cobra,2024,Darkspeed,https://pitchmarks.com/cobra-irons-by-year/,secondary
