Manufacturer,Release Year,Model Name,Category,CC,Standard Loft,Face Material,Adjustability,Weight System,Weight Range,Cost (MSRP),Stock Length,Swing Weight,Target Player Profile,Spin Profile,Bias,Offset,Left Handed
Vice Golf,2026,VGD01+,Premium DTC,460,"9, 10.5, 12",Forged Carbon,+/- 2.0°,Internal Fin,Fixed,$399,"45.75""",D2,All Skill Levels,Mid,Neutral,Slight,✓
TaylorMade,2026,Qi4D Max Lite,Max Speed / Lightweight,460,"10.5, 12",60x Carbon Twist,+/- 2.0,Lightweight,Fixed,$599,"45.75""",D1,15+ HCP (Slow Swing),High,Draw Bias,None,✓
TaylorMade,2026,Qi4D Max,Max Forgiveness,460,"9, 10.5, 12",60x Carbon Twist,+/- 2.0,2-Port System,Fixed,$599,"45.75""",D4,15+ HCP,Mid-High,Draw Bias,None,✓
TaylorMade,2026,Qi4D LS,Low Spin,460,"8, 9, 10.5",60x Carbon Twist,+/- 2.0,2-Port TAS,19g,$649,"45.5""",D4,0-5 HCP,Low,Fade,None,✓
TaylorMade,2026,Qi4D Driver,Versatile,460,"9, 10.5, 12",60x Carbon Twist,+/- 2.0,4-Port TAS,26g,$629,"45.75""",D3,5-15 HCP,Mid,Neutral,None,✓
Takomo,2026,Ignis D1,DTC Performance,460,"9, 10.5",Variable Thick Ti,+/- 2.0°,4-Weight Quad,27g,$319,"45.75""",D2,All Skill Levels,Mid,Draw Bias,Slight,✓
Sub 70,2026,TAIII 3D,Player Profile,440,"8, 10.5",3D Printed Titanium,+/- 2.0°,Front/Back Pods,15g,$549,"45.75""",D3,All Skill Levels,Mid,Neutral,Slight,✓
Sub 70,2026,859 Pro,Value Performance,460,"9, 10.5",Carbon/Titanium,+/- 2.0°,Axis Rotation (ART),12g,$399,"45.75""",D2,All Skill Levels,Mid,Neutral,Slight,✓
Srixon,2026,ZXi MAX,Maximum Forgiveness,460,"9, 10.5, 12",Ti72S / i-FLEX,+/- 1.5,Rear Sole Weight,Adjustable,$499,"45.25""",D2,10+ HCP,Mid,Draw Bias,None,✓
Srixon,2026,ZXi LS,Low Spin,450,"8.5, 9.5, 10.5",Ti72S / i-FLEX,+/- 1.5,Low-Forward Sole,Adjustable,$499,"45.25""",D4,0-5 HCP,Low,Neutral / Fade,None,✓
Srixon,2026,ZXi,Versatile Performance,460,"9, 10.5",Ti72S / i-FLEX,+/- 1.5,Heel/Toe Swappable,10g/4g,$499,"45.25""",D3,All Skill Levels,Mid-Low,Neutral,None,✓
PXG,2026,Lightning Tour Mid,Precision / Control,460,"9, 10.5",Frequency-Tuned Ti,+/- 1.5,3-Port Advanced,Adjustable,$649,"45.5""",D3,0-10 HCP,Mid-Low,Neutral,None,✓
PXG,2026,Lightning Tour,Low Spin Tour,440,"8, 9, 10",Frequency-Tuned Ti,+/- 1.5,3-Port Advanced,Adjustable,$649,"45.5""",D4,0-5 HCP,Low,Fade,None,✓
PXG,2026,Lightning Max Lite,Lightweight Speed,460,"10.5, 12",Frequency-Tuned Ti,+/- 1.5,Ultralight Sole,Fixed,$599,"45.75""",D0,15+ HCP (Slow Swing),Mid-High,Draw,None,✓
PXG,2026,Lightning Max 10K+,Ultra-High MOI,460,"9, 10.5, 12",Frequency-Tuned Ti,+/- 1.5,High MOI 3-Port,Adjustable,$599,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
PING,2026,G440 SFT,Straight Flight Tech,460,"10.5, 12",Forged VFT,+/- 1.5,Heel Weight,Adjustable,$599,"45.75""",D2,15+ HCP (Slicer),Mid-High,Draw Bias,Slight,✓
PING,2026,G440 MAX,Versatile Forgiveness,460,"9, 10.5, 12",Forged VFT Ti,+/- 1.5,Tungsten Back Weight,High MOI,$599,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
PING,2026,G440 LST,Low Spin,445,"9, 10.5",Forged VFT,+/- 1.5,Tungsten Weight,Adjustable,$629,"45.25""",D4,0-5 HCP,Low,Neutral/Fade,None,✓
PING,2026,G440 K,Maximum Stability,460,"9, 10.5, 12",Forged VFT Ti,+/- 1.5,32g Back Weight,Adjustable,$649,"45.75""",D3,10+ HCP,Mid-High,Adjustable,None,✓
Mizuno,2026,JPX One,Speed/Forgive,460,"9, 10.5, 12",Nanoalloy Polymer,+/- 2.0°,CORTECH Chamber,8g,$499,"45.75""",D2,5-15 HCP,Mid,Neutral,Slight,✓
Cobra,2026,OPTM X,Versatile Forgiveness,460,"9, 10.5, 12",H.O.T. Face Insert,+/- 1.5,Mid-high toe & back,Adjustable,$549,"45.5""",D3,All Skill Levels,Mid,Neutral,None,✓
Cobra,2026,OPTM Max-K,Max Stability (High MOI),460,"9, 10.5, 12",H.O.T. Face Insert,+/- 1.5,11g Rear Weight,Fixed,$549,"45.75""",D2,10+ HCP,Mid-High,Neutral / Draw,Slight,✓
Cobra,2026,OPTM Max-D,Draw Bias,460,"9, 10.5, 12",H.O.T. Face Insert,+/- 1.5,Heel Biased,Fixed,$549,"45.75""",D2,15+ HCP (Slicer),Mid-High,Draw Bias,Moderate,✓
Cobra,2026,OPTM LS,Low Spin Tour,460,"8, 9, 10.5",H.O.T. Face Insert,+/- 1.5,"3-Port (Toe, Heel, Back)",Adjustable,$549,"45.5""",D4,0-5 HCP,Very Low,Fade Bias,None,✓
Callaway,2026,Quantum Triple Diamond Max,Tour Forgiveness,460,"9, 10.5",Tri-Force Face,+/- 2.0,Front/Back Pods,10g/4g,$649,"45.5""",D4,0-10 HCP,Low,Neutral,None,No
Callaway,2026,Quantum Triple Diamond,Tour Performance,450,"8, 9, 10.5",Tri-Force Face,+/- 2.0,Front/Back Pods,10g/4g,$649,"45.5""",D4,0-5 HCP,Very Low,Fade,None,No
Callaway,2026,Quantum Max Fast,Lightweight,460,"10.5, 12",Tri-Force Face,Fixed Hosel,Lightweight,Fixed,$649,"45.75""",D0,15+ HCP (Slow Swing),High,Draw Bias,Slight,✓
Callaway,2026,Quantum Max D,Draw Bias,460,"9, 10.5, 12",Tri-Force Face,+/- 2.0,Heel Weight,Fixed,$649,"45.75""",D3,15+ HCP,Mid-High,Draw Bias,Slight,✓
Callaway,2026,Quantum Max,Versatile Forgiveness,460,"9, 10.5, 12",Tri-Force Face,+/- 2.0,Sliding Track,12g,$649,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
Titleist,2025,GT1,,,,,,,,,,,,,,,
TaylorMade,2025,Qi35 Max Lite,,,,,,,,,,,,,,,
TaylorMade,2025,Qi35 Max,,,,,,,,,,,,,,,
TaylorMade,2025,Qi35 LS,,,,,,,,,,,,,,,
TaylorMade,2025,Qi35,,,,,,,,,,,,,,,
Srixon,2025,ZXi Max,Maximum Forgiveness,460,"9, 10.5, 12",i-FLEX Titanium Face,+/- 1.5,Rear Weight,Fixed,$549,"45.25""",D2,10+ HCP,Mid,Draw Bias,Slight,✓
Srixon,2025,ZXi LS,Low Spin,450,"8.5, 9.5, 10.5",i-FLEX Titanium Face,+/- 1.5,Forward CG,Adjustable,$549,"45.25""",D4,0-8 HCP,Low,Neutral/Fade,None,✓
Srixon,2025,ZXi,Versatile Performance,460,"9, 10.5",i-FLEX Titanium Face,+/- 1.5,Swappable Heel/Toe Weights,10g/4g,$549,"45.25""",D3,All Skill Levels,Mid-Low,Neutral,None,✓
PING,2025,G440 SFT,,,,,,,,,,,,,,,
PING,2025,G440 Max,,,,,,,,,,,,,,,
PING,2025,G440 MAX,All-Around Forgiveness,460,"9, 10.5, 12",Forged VFT Titanium,+/- 1.5,Back Weight,Adjustable,$599,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
PING,2025,G440 LST,,,,,,,,,,,,,,,
Callaway,2025,Elyte X,,,,,,,,,,,,,,,
Callaway,2025,Elyte Triple Diamond,,,,,,,,,,,,,,,
Callaway,2025,Elyte Max Fast,,,,,,,,,,,,,,,
Callaway,2025,Elyte,,,,,,,,,,,,,,,
Titleist,2024,GT4,,,,,,,,,,,,,,,
Titleist,2024,GT3,,,,,,,,,,,,,,,
Titleist,2024,GT2,,,,,,,,,,,,,,,
Titleist,2024,GT2,Distance/Forgiveness,460,"8, 9, 10.5, 11.5",Proprietary Matrix Polymer,+/- 1.5,Interchangeable Back Weight,Available,$649,"45.5""",D3,All Skill Levels,Mid,Neutral,None,✓
TaylorMade,2024,Qi10 Max,Maximum Forgiveness,460,"9, 10.5, 12",60X Carbon Twist Face,+/- 2.0,Rear High-MOI,Fixed,$599,"45.75""",D3,10+ HCP,Mid-High,Neutral,Slight,✓
TaylorMade,2024,Qi10 LS,Low Spin,460,"8, 9, 10.5",60X Carbon Twist Face,+/- 2.0,Forward CG,Adjustable,$629,"45.75""",D4,0-8 HCP,Low,Neutral/Fade,None,✓
TaylorMade,2024,Qi10,All-Around,460,"9, 10.5, 12",60X Carbon Twist Face,+/- 2.0,Fixed Back Weight,Fixed,$599,"45.75""",D4,All Skill Levels,Mid-Low,Neutral,None,✓
PXG,2024,0311 Black Ops Tour-1,Tour Compact,450,"8, 9, 10.5",AMF Face Technology,+/- 1.5,3-Port Weights,Adjustable,$599,"45.5""",D4,0-8 HCP,Low,Neutral/Fade,None,✓
PXG,2024,0311 Black Ops,Tour Performance,460,"8, 9, 10.5, 12",AMF Face Technology,+/- 1.5,3-Port Weights,Adjustable,$599,"45.5""",D3,All Skill Levels,Mid-Low,Adjustable,None,✓
PING,2024,G430 SFT,Draw Bias,460,"10.5, 12",Forged Face / Spinsistency,+/- 1.5,Draw-Biased Weight,Fixed,$579,"45.75""",D2,15+ HCP,Mid-High,Draw Bias,Slight,✓
PING,2024,G430 Max 10K,Max Forgiveness,460,"9, 10.5, 12",Forged T9S+ Titanium,+/- 1.5,Fixed Back Weight,28g,$599,"45.75""",D3,All Skill Levels,Low,Neutral,None,✓
PING,2024,G430 LST,Low Spin,440,"9, 10.5",Forged Face / Spinsistency,+/- 1.5,Moveable Back Weight,Adjustable,$579,"45.75""",D4,0-8 HCP,Low,Fade Bias,None,✓
Cobra,2024,Darkspeed X,Speed/Forgiveness,460,"9, 10.5, 12",H.O.T. Face,+/- 1.5,Front/Back,Adjustable,$549,"45.5""",D3,All Skill Levels,Mid-Low,Neutral,None,✓
Cobra,2024,Darkspeed Max,Maximum Forgiveness,460,"9, 10.5, 12",PWRSHELL H.O.T. Face,+/- 1.5,Back Weight,Fixed,$549,"45.5""",D2,12+ HCP,Mid-High,Neutral,Slight,✓
Cobra,2024,Darkspeed LS,Low Spin,460,"8, 9, 10.5",PWRSHELL H.O.T. Face,+/- 1.5,Forward Weights,Adjustable,$549,"45.5""",D4,0-8 HCP,Low,Neutral/Fade,None,✓
Callaway,2024,Paradym Ai Smoke Triple Diamond,,,,,,,,,,,,,,,
Callaway,2024,Paradym Ai Smoke Max LS,,,,,,,,,,,,,,,
Callaway,2024,Paradym Ai Smoke Max D,,,,,,,,,,,,,,,
Callaway,2024,Paradym Ai Smoke Max,,,,,,,,,,,,,,,
Callaway,2024,Paradym Ai Smoke Max,All-Around,460,"9, 10.5, 12",Ai Smart Face,+/- 2.0,Adjustable Perimeter Track,14g,$599,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
Titleist,2023,TSR4,Lowest Spin,430,"8, 9, 10",ATI 425 Titanium,+/- 1.5,Dual CG,Adjustable,$599,"45.5""",D4,0-5 HCP,Lowest,Neutral,None,✓
Titleist,2023,TSR3,Precision Control,460,"8, 9, 10, 11",ATI 425 Titanium,+/- 1.5,SureFit CG Track,Adjustable,$599,"45.5""",D4,0-10 HCP,Low,Adjustable,None,✓
Titleist,2023,TSR2,Speed and Stability,460,"8, 9, 10, 11",ATI 425 Titanium,+/- 1.5,Rear Weight,Interchangeable,$599,"45.5""",D3,All Skill Levels,Mid,Neutral,None,✓
Titleist,2023,TSR1,,,,,,,,,,,,,,,
TaylorMade,2023,Stealth 2 Plus,Tour Low Spin,460,"8, 9, 10.5",60X Carbon Twist Face,+/- 2.0,Sliding Weight,Adjustable,$629,"45.75""",D4,0-8 HCP,Low,Adjustable,None,✓
TaylorMade,2023,Stealth 2 HD,Draw Bias,460,"9, 10.5, 12",60X Carbon Twist Face,+/- 2.0,Heel Weight,Fixed,$599,"45.75""",D2,15+ HCP,High,Draw Bias,Moderate,✓
TaylorMade,2023,Stealth 2,All-Around,460,"9, 10.5, 12",60X Carbon Twist Face,+/- 2.0,Fixed Back Weight,25g,$599,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
